,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,313,10740,0,39,23,1.0,467.0,173.2,1206,0,3,2,1.0,603.0,241.2,4932,0,20,14,1.0,352.3,145.1,2969,0,12,7,1.0,424.1,156.3,1633,0,4,0,1.0,,408.2
その他,314,6991,0,21,12,1.0,582.6,211.8,2772,0,10,6,1.0,462.0,173.2,829,0,4,0,1.0,,207.2,992,0,0,1,1.0,992.0,992.0,2398,0,7,5,1.0,479.6,199.8
その他,315,12540,0,45,33,1.0,380.0,160.8,3265,0,15,7,1.0,466.4,148.4,1147,0,1,1,1.0,1147.0,573.5,4497,0,16,17,1.0,264.5,136.3,3631,0,13,8,1.0,453.9,172.9
その他,316,6604,0,25,17,1.0,388.5,157.2,956,0,5,2,1.0,478.0,136.6,3941,0,18,12,1.0,328.4,131.4,887,0,1,1,1.0,887.0,443.5,820,0,1,2,1.0,410.0,273.3
その他,317,13348,0,38,45,1.0,296.6,160.8,3156,0,7,9,1.0,350.7,197.2,2459,0,7,9,1.0,273.2,153.7,2012,0,4,4,1.0,503.0,251.5,5721,0,20,23,1.0,248.7,133.0
その他,318,15001,0,61,35,1.0,428.6,156.3,1541,0,7,1,1.0,1541.0,192.6,4125,0,19,8,1.0,515.6,152.8,6058,0,22,20,1.0,302.9,144.2,3277,0,13,6,1.0,546.2,172.5
その他,319,9985,0,38,26,1.0,384.0,156.0,2474,0,11,4,1.0,618.5,164.9,3543,0,14,11,1.0,322.1,141.7,1305,0,4,2,1.0,652.5,217.5,2663,0,9,9,1.0,295.9,147.9
その他,320,8282,0,31,11,1.0,752.9,197.2,587,0,3,0,1.0,,195.7,1340,0,5,3,1.0,446.7,167.5,1299,0,3,0,1.0,,433.0,5056,0,20,8,1.0,632.0,180.6
その他,321,7540,0,29,19,1.0,396.8,157.1,2117,0,11,4,1.0,529.2,141.1,1497,0,2,5,1.0,299.4,213.9,3453,0,15,9,1.0,383.7,143.9,473,0,1,1,1.0,473.0,236.5
その他,322,12178,0,55,21,1.0,579.9,160.2,712,0,0,0,1.0,,,1216,0,3,3,1.0,405.3,202.7,3719,0,18,10,1.0,371.9,132.8,6531,0,34,8,1.0,816.4,155.5
その他,323,10696,0,41,27,1.0,396.1,157.3,1748,0,5,2,1.0,874.0,249.7,5050,0,20,15,1.0,336.7,144.3,3074,0,12,10,1.0,307.4,139.7,824,0,4,0,1.0,,206.0
その他,324,9849,0,43,24,1.0,410.4,147.0,296,0,3,2,1.0,148.0,59.2,2384,0,13,9,1.0,264.9,108.4,1442,0,2,3,1.0,480.7,288.4,5727,0,25,10,1.0,572.7,163.6
その他,325,11461,0,37,27,1.0,424.5,179.1,2525,0,6,8,1.0,315.6,180.4,1508,0,5,3,1.0,502.7,188.5,3223,0,9,7,1.0,460.4,201.4,4205,0,17,9,1.0,467.2,161.7
その他,326,6232,0,26,15,1.0,415.5,152.0,1365,0,7,4,1.0,341.2,124.1,1943,0,8,4,1.0,485.8,161.9,1524,0,6,4,1.0,381.0,152.4,1400,0,5,3,1.0,466.7,175.0
その他,327,3913,0,13,10,1.0,391.3,170.1,393,0,2,0,1.0,,196.5,1163,0,4,7,1.0,166.1,105.7,849,0,3,1,1.0,849.0,212.2,1508,0,4,2,1.0,754.0,251.3
その他,328,6610,0,33,15,1.0,440.7,137.7,1154,0,3,2,1.0,577.0,230.8,251,0,1,0,1.0,,251.0,4298,0,27,11,1.0,390.7,113.1,907,0,2,2,1.0,453.5,226.8
その他,329,9596,0,40,24,1.0,399.8,149.9,1412,0,2,4,1.0,353.0,235.3,3891,0,19,6,1.0,648.5,155.6,532,0,2,2,1.0,266.0,133.0,3761,0,17,12,1.0,313.4,129.7
その他,330,3384,0,10,5,1.0,676.8,225.6,327,0,0,1,1.0,327.0,327.0,462,0,1,0,1.0,,462.0,2030,0,8,3,1.0,676.7,184.5,565,0,1,1,1.0,565.0,282.5
その他,331,6560,0,26,17,1.0,385.9,152.6,2012,0,11,5,1.0,402.4,125.8,2704,0,9,10,1.0,270.4,142.3,1352,0,6,2,1.0,676.0,169.0,492,0,0,0,1.0,,
その他,332,4466,0,18,9,1.0,496.2,165.4,1291,0,5,3,1.0,430.3,161.4,360,0,1,0,1.0,,360.0,1965,0,9,5,1.0,393.0,140.4,850,0,3,1,1.0,850.0,212.5
その他,333,2970,0,12,6,1.0,495.0,165.0,434,0,2,0,1.0,,217.0,213,0,0,1,1.0,213.0,213.0,1566,0,9,1,1.0,1566.0,156.6,757,0,1,4,1.0,189.2,151.4
