機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"4,023",-591,15,6,1/191.6,1/268.2,1/670.5
マイジャグラーV,1002,"1,581",-926,3,1,1/395.2,1/527.0,1/1581.0
マイジャグラーV,1003,"2,508",-368,9,4,1/192.9,1/278.7,1/627.0
マイジャグラーV,1004,"4,394",+229,20,8,1/156.9,1/219.7,1/549.2
マイジャグラーV,1005,"3,240",-994,8,9,1/190.6,1/405.0,1/360.0
マイジャグラーV,1006,"6,442",+582,27,19,1/140.0,1/238.6,1/339.1
マイジャグラーV,1007,"1,584",-409,4,3,1/226.3,1/396.0,1/528.0
マイジャグラーV,1008,"7,276","-1,206",19,28,1/154.8,1/382.9,1/259.9
マイジャグラーV,1009,"8,989",-638,26,32,1/155.0,1/345.7,1/280.9
マイジャグラーV,1010,"1,582",-662,5,1,1/263.7,1/316.4,1/1582.0
マイジャグラーV,1011,"5,209","-1,324",14,15,1/179.6,1/372.1,1/347.3
マイジャグラーV,1012,"2,531",-726,8,5,1/194.7,1/316.4,1/506.2
マイジャグラーV,1013,"3,543","+1,547",20,11,1/114.3,1/177.2,1/322.1
マイジャグラーV,1014,"3,606","+1,476",20,9,1/124.3,1/180.3,1/400.7
マイジャグラーV,1015,"6,014",-262,21,17,1/158.3,1/286.4,1/353.8
マイジャグラーV,1016,"7,084",+947,26,26,1/136.2,1/272.5,1/272.5
マイジャグラーV,1017,"8,725","+2,271",35,37,1/121.2,1/249.3,1/235.8
マイジャグラーV,1018,"8,589","+3,565",43,31,1/116.1,1/199.7,1/277.1
マイジャグラーV,1019,"5,474",-785,19,11,1/182.5,1/288.1,1/497.6
マイジャグラーV,1020,"2,252","-1,382",6,1,1/321.7,1/375.3,1/2252.0
マイジャグラーV,1021,"7,429","+2,268",36,24,1/123.8,1/206.4,1/309.5
マイジャグラーV,1022,"7,036","+1,641",31,25,1/125.6,1/227.0,1/281.4
マイジャグラーV,1023,"5,774","+1,076",27,14,1/140.8,1/213.9,1/412.4
マイジャグラーV,1024,"1,341",-597,3,3,1/223.5,1/447.0,1/447.0
マイジャグラーV,1025,"6,618","+3,635",36,30,1/100.3,1/183.8,1/220.6
マイジャグラーV,1026,"4,389","-1,653",8,16,1/182.9,1/548.6,1/274.3
マイジャグラーV,1027,"4,045",-944,11,11,1/183.9,1/367.7,1/367.7
マイジャグラーV,1028,"2,678",-332,8,11,1/140.9,1/334.8,1/243.5
マイジャグラーV,1029,"2,963",+253,14,4,1/164.6,1/211.6,1/740.8
マイジャグラーV,1030,"7,372","+2,215",34,26,1/122.9,1/216.8,1/283.5
