機種名,台番号,G数,差枚,BB,合成確率,BB確率
マイジャグラーV,1001,0,0,0,1/0.0,1/0.0
マイジャグラーV,1002,0,0,0,1/0.0,1/0.0
マイジャグラーV,1003,0,0,0,1/0.0,1/0.0
マイジャグラーV,1004,0,0,0,1/0.0,1/0.0
マイジャグラーV,1005,0,0,0,1/0.0,1/0.0
マイジャグラーV,1006,0,0,0,1/0.0,1/0.0
マイジャグラーV,1007,0,0,0,1/0.0,1/0.0
マイジャグラーV,1008,0,0,0,1/0.0,1/0.0
マイジャグラーV,1009,0,0,0,1/0.0,1/0.0
マイジャグラーV,1010,0,0,0,1/0.0,1/0.0
マイジャグラーV,1011,0,0,0,1/0.0,1/0.0
マイジャグラーV,1012,0,0,0,1/0.0,1/0.0
マイジャグラーV,1013,0,0,0,1/0.0,1/0.0
マイジャグラーV,1014,0,0,0,1/0.0,1/0.0
マイジャグラーV,1015,0,0,0,1/0.0,1/0.0
マイジャグラーV,1016,0,0,0,1/0.0,1/0.0
マイジャグラーV,1017,0,0,0,1/0.0,1/0.0
マイジャグラーV,1018,0,0,0,1/0.0,1/0.0
マイジャグラーV,1019,0,0,0,1/0.0,1/0.0
マイジャグラーV,1020,0,0,0,1/0.0,1/0.0
マイジャグラーV,1021,0,0,0,1/0.0,1/0.0
マイジャグラーV,1022,0,0,0,1/0.0,1/0.0
マイジャグラーV,1023,0,0,0,1/0.0,1/0.0
マイジャグラーV,1024,0,0,0,1/0.0,1/0.0
マイジャグラーV,1025,0,0,0,1/0.0,1/0.0
マイジャグラーV,1026,0,0,0,1/0.0,1/0.0
マイジャグラーV,1027,0,0,0,1/0.0,1/0.0
マイジャグラーV,1028,0,0,0,1/0.0,1/0.0
マイジャグラーV,1029,0,0,0,1/0.0,1/0.0
マイジャグラーV,1030,0,0,0,1/0.0,1/0.0
マイジャグラーV,1031,0,0,0,1/0.0,1/0.0
マイジャグラーV,1032,0,0,0,1/0.0,1/0.0
マイジャグラーV,1033,0,0,0,1/0.0,1/0.0
マイジャグラーV,1034,0,0,0,1/0.0,1/0.0
マイジャグラーV,1035,0,0,0,1/0.0,1/0.0
マイジャグラーV,1036,0,0,0,1/0.0,1/0.0
マイジャグラーV,1037,0,0,0,1/0.0,1/0.0
