台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,4567,10,11,0,933,1/456.7,1/415.2,0.0,217.5,218
1002,2840,6,7,0,478,1/473.3,1/405.7,0.0,218.5,165
1003,7410,29,22,0,2118,1/255.5,1/336.8,0.0,145.3,659
1004,8708,36,27,0,2148,1/241.9,1/322.5,0.0,138.2,161
1005,6933,23,20,0,1279,1/301.4,1/346.7,0.0,161.2,416
1006,4625,9,13,0,622,1/513.9,1/355.8,0.0,210.2,485
1007,6792,20,17,0,851,1/339.6,1/399.5,0.0,183.6,137
1008,4145,12,13,0,651,1/345.4,1/318.8,0.0,165.8,363
1009,6807,19,27,0,661,1/358.3,1/252.1,0.0,148.0,359
1010,4349,13,9,0,946,1/334.5,1/483.2,0.0,197.7,182
1011,8355,41,29,0,3011,1/203.8,1/288.1,0.0,119.4,419
1012,4119,13,14,0,975,1/316.8,1/294.2,0.0,152.6,119
1013,5270,23,10,0,1070,1/229.1,1/527.0,0.0,159.7,439
1014,6490,19,19,0,925,1/341.6,1/341.6,0.0,170.8,256
1015,5080,20,9,0,916,1/254.0,1/564.4,0.0,175.2,190
1016,4512,15,12,0,1019,1/300.8,1/376.0,0.0,167.1,255
1017,8823,41,32,0,2763,1/215.2,1/275.7,0.0,120.9,163
1018,3259,10,8,0,801,1/325.9,1/407.4,0.0,181.1,266
1019,7293,32,20,0,1929,1/227.9,1/364.7,0.0,140.3,429
1020,6471,29,19,0,1688,1/223.1,1/340.6,0.0,134.8,168
1021,7882,30,24,0,1793,1/262.7,1/328.4,0.0,146.0,2
1022,5991,24,16,0,1371,1/249.6,1/374.4,0.0,149.8,183
1023,5399,19,14,0,1053,1/284.2,1/385.6,0.0,163.6,181
1024,2803,11,4,0,1066,1/254.8,1/700.8,0.0,186.9,118
1025,6816,26,24,0,1813,1/262.2,1/284.0,0.0,136.3,92
1026,6135,17,17,0,1093,1/360.9,1/360.9,0.0,180.4,40
1027,7301,24,21,0,1235,1/304.2,1/347.7,0.0,162.2,68
1028,5176,20,13,0,2238,1/258.8,1/398.2,0.0,156.8,177
1029,1634,4,3,0,563,1/408.5,1/544.7,0.0,233.4,0
1030,3149,9,7,0,670,1/349.9,1/449.9,0.0,196.8,100
1031,1873,4,3,0,254,1/468.3,1/624.3,0.0,267.6,180
1032,6629,31,10,0,2073,1/213.8,1/662.9,0.0,161.7,159
1033,4357,10,10,0,762,1/435.7,1/435.7,0.0,217.9,387
