台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"1,625",-968,3,4,1/232.1,1/541.7,1/406.2
1101,403,-391,0,1,1/403.0,1/0.0,1/403.0
1102,"5,167","+1,371",24,17,1/126.0,1/215.3,1/303.9
1103,"1,083",+853,8,4,1/90.2,1/135.4,1/270.8
1104,"3,014",-221,12,6,1/167.4,1/251.2,1/502.3
1105,881,-856,0,2,1/440.5,1/0.0,1/440.5
1106,"5,523",-385,22,16,1/145.3,1/251.0,1/345.2
1107,"2,800",+421,13,10,1/121.7,1/215.4,1/280.0
1108,"3,513","+1,335",22,7,1/121.1,1/159.7,1/501.9
1109,"6,089",-379,21,23,1/138.4,1/290.0,1/264.7
1110,221,-285,0,0,1/0.0,1/0.0,1/0.0
1111,"5,186",+862,22,21,1/120.6,1/235.7,1/247.0
1112,"4,047",-438,14,13,1/149.9,1/289.1,1/311.3
1113,569,-544,0,1,1/569.0,1/0.0,1/569.0
1123,"1,594","-1,100",3,3,1/265.7,1/531.3,1/531.3
1124,"4,793",+594,24,11,1/136.9,1/199.7,1/435.7
1125,142,-126,0,0,1/0.0,1/0.0,1/0.0
1126,"6,804",+182,25,27,1/130.8,1/272.2,1/252.0
1127,324,-138,1,0,1/324.0,1/324.0,1/0.0
1128,"2,247",-691,5,8,1/172.8,1/449.4,1/280.9
1129,"3,333",-262,12,9,1/158.7,1/277.8,1/370.3
