台番号,G数,差枚,BB,合成確率,BB確率
1100,0,0,0,1/0.0,1/0.0
1101,0,0,0,1/0.0,1/0.0
1102,0,0,0,1/0.0,1/0.0
1103,0,0,0,1/0.0,1/0.0
1104,0,0,0,1/0.0,1/0.0
1105,0,0,0,1/0.0,1/0.0
1106,0,0,0,1/0.0,1/0.0
1107,0,0,0,1/0.0,1/0.0
1108,0,0,0,1/0.0,1/0.0
1109,0,0,0,1/0.0,1/0.0
1110,0,0,0,1/0.0,1/0.0
1111,0,0,0,1/0.0,1/0.0
1112,0,0,0,1/0.0,1/0.0
1113,0,0,0,1/0.0,1/0.0
1123,0,0,0,1/0.0,1/0.0
1124,0,0,0,1/0.0,1/0.0
1125,0,0,0,1/0.0,1/0.0
1126,0,0,0,1/0.0,1/0.0
1127,0,0,0,1/0.0,1/0.0
1128,0,0,0,1/0.0,1/0.0
1129,0,0,0,1/0.0,1/0.0
