台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"5,728",+950,26,16,1/136.4,1/220.3,1/358.0
1002,"7,270","+2,038",35,22,1/127.5,1/207.7,1/330.5
1003,"2,936","-1,088",7,7,1/209.7,1/419.4,1/419.4
1004,"7,929",+488,25,35,1/132.2,1/317.2,1/226.5
1005,"3,628",-768,13,4,1/213.4,1/279.1,1/907.0
1006,"3,014","-1,288",8,3,1/274.0,1/376.8,1/1004.7
1007,"3,103",-856,9,8,1/182.5,1/344.8,1/387.9
1008,"1,907",-903,6,2,1/238.4,1/317.8,1/953.5
1009,"3,862",-409,14,7,1/183.9,1/275.9,1/551.7
1010,"1,847",-591,6,1,1/263.9,1/307.8,1/1847.0
1011,"6,951","-1,382",22,19,1/169.5,1/316.0,1/365.8
1012,"8,874","+1,994",37,33,1/126.8,1/239.8,1/268.9
1013,"8,491","+4,103",49,21,1/121.3,1/173.3,1/404.3
1014,"6,128",+606,26,18,1/139.3,1/235.7,1/340.4
1015,"8,528","+1,332",32,37,1/123.6,1/266.5,1/230.5
1016,"6,066",-985,18,19,1/163.9,1/337.0,1/319.3
1017,"5,109","-1,171",14,17,1/164.8,1/364.9,1/300.5
1018,"5,344",+371,24,10,1/157.2,1/222.7,1/534.4
1019,"9,419",-476,25,43,1/138.5,1/376.8,1/219.0
1020,"7,219",+571,30,22,1/138.8,1/240.6,1/328.1
1021,"6,025","-2,179",14,14,1/215.2,1/430.4,1/430.4
1022,"4,366",-744,15,11,1/167.9,1/291.1,1/396.9
1023,"8,785",+818,31,35,1/133.1,1/283.4,1/251.0
1024,"4,548",+688,19,15,1/133.8,1/239.4,1/303.2
1025,"8,600","+1,312",34,36,1/122.9,1/252.9,1/238.9
1026,"7,772","+1,088",28,33,1/127.4,1/277.6,1/235.5
1027,"7,995","+3,047",39,28,1/119.3,1/205.0,1/285.5
1028,"3,199",-262,12,6,1/177.7,1/266.6,1/533.2
1029,"3,656",-621,11,8,1/192.4,1/332.4,1/457.0
1030,"7,828",+512,26,37,1/124.3,1/301.1,1/211.6
1031,"8,465","+2,762",38,37,1/112.9,1/222.8,1/228.8
1032,"4,882",-368,18,12,1/162.7,1/271.2,1/406.8
1033,"5,272","+2,056",27,18,1/117.2,1/195.3,1/292.9
1034,"8,588",-276,27,32,1/145.6,1/318.1,1/268.4
1035,"2,553",-462,8,6,1/182.4,1/319.1,1/425.5
1036,"5,035",+26,19,12,1/162.4,1/265.0,1/419.6
1037,"3,300","-1,394",7,9,1/206.2,1/471.4,1/366.7
1038,"6,122",-582,20,20,1/153.1,1/306.1,1/306.1
1039,"4,483","-1,147",12,11,1/194.9,1/373.6,1/407.5
1040,"7,810","+2,671",35,34,1/113.2,1/223.1,1/229.7
1041,"1,959",-262,8,2,1/195.9,1/244.9,1/979.5
1042,"3,772",-535,13,10,1/164.0,1/290.2,1/377.2
1043,"9,114","+2,532",37,42,1/115.4,1/246.3,1/217.0
1044,"3,675",-985,10,9,1/193.4,1/367.5,1/408.3
1045,"2,100","-1,218",3,5,1/262.5,1/700.0,1/420.0
1046,"5,521","-1,500",17,12,1/190.4,1/324.8,1/460.1
1047,"5,737",-150,20,15,1/163.9,1/286.9,1/382.5
1048,"7,106",-138,26,20,1/154.5,1/273.3,1/355.3
1049,"4,965",-618,17,13,1/165.5,1/292.1,1/381.9
1050,"4,863","-1,159",13,11,1/202.6,1/374.1,1/442.1
1069,"8,747","+2,197",38,34,1/121.5,1/230.2,1/257.3
1070,"2,649",-32,12,3,1/176.6,1/220.8,1/883.0
1071,"8,602","+6,774",52,45,1/88.7,1/165.4,1/191.2
1072,"6,733",-465,25,17,1/160.3,1/269.3,1/396.1
1073,"4,114",-559,16,6,1/187.0,1/257.1,1/685.7
1074,"6,410",-891,22,11,1/194.2,1/291.4,1/582.7
1075,"8,801","+1,747",35,31,1/133.3,1/251.5,1/283.9
1076,"4,547","-1,218",13,8,1/216.5,1/349.8,1/568.4
1077,"5,607",+500,23,18,1/136.8,1/243.8,1/311.5
1078,"6,473","+1,312",27,21,1/134.9,1/239.7,1/308.2
1079,"3,023","-1,076",9,7,1/188.9,1/335.9,1/431.9
1080,"7,840",+135,29,26,1/142.5,1/270.3,1/301.5
1081,"5,621",-774,22,9,1/181.3,1/255.5,1/624.6
1082,"8,860",-229,27,31,1/152.8,1/328.1,1/285.8
1083,"5,517",-174,22,13,1/157.6,1/250.8,1/424.4
1084,"7,680",-676,26,23,1/156.7,1/295.4,1/333.9
1085,"5,000",-912,17,9,1/192.3,1/294.1,1/555.6
1086,"3,402","-1,241",9,8,1/200.1,1/378.0,1/425.2
1087,"6,554",-779,19,20,1/168.1,1/344.9,1/327.7
1088,"6,133","+1,182",29,14,1/142.6,1/211.5,1/438.1
1089,"7,496","+2,497",34,36,1/107.1,1/220.5,1/208.2
1090,"5,966",+74,21,21,1/142.0,1/284.1,1/284.1
1091,"7,431",-538,25,24,1/151.7,1/297.2,1/309.6
1092,"6,346",+653,27,14,1/154.8,1/235.0,1/453.3
1093,"6,181","-2,056",17,17,1/181.8,1/363.6,1/363.6
1094,"1,482",-521,3,5,1/185.2,1/494.0,1/296.4
1095,"7,279","+1,147",29,25,1/134.8,1/251.0,1/291.2
1096,"6,949",+912,29,24,1/131.1,1/239.6,1/289.5
1097,"3,532",-579,10,12,1/160.5,1/353.2,1/294.3
1098,"8,593","+3,721",45,33,1/110.2,1/191.0,1/260.4
1099,"3,156",-756,8,9,1/185.6,1/394.5,1/350.7
