台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"8,631",+535,35,25,1/143.8,1/246.6,1/345.2
1002,"8,233","+1,606",33,29,1/132.8,1/249.5,1/283.9
1003,"7,242","-1,041",20,23,1/168.4,1/362.1,1/314.9
1004,"8,520","+1,276",34,29,1/135.2,1/250.6,1/293.8
1005,"7,345",+712,30,19,1/149.9,1/244.8,1/386.6
1006,"9,085","+4,044",48,31,1/115.0,1/189.3,1/293.1
1007,"8,362",+691,37,19,1/149.3,1/226.0,1/440.1
1008,"4,759","-1,100",14,11,1/190.4,1/339.9,1/432.6
1009,"8,705",-815,27,28,1/158.3,1/322.4,1/310.9
1010,"7,711","+1,509",34,27,1/126.4,1/226.8,1/285.6
1011,"8,289","+1,244",39,17,1/148.0,1/212.5,1/487.6
1012,"5,934",-26,25,11,1/164.8,1/237.4,1/539.5
1013,"7,976",+85,34,16,1/159.5,1/234.6,1/498.5
1014,"6,771",+944,29,17,1/147.2,1/233.5,1/398.3
1015,"9,030","+1,465",39,29,1/132.8,1/231.5,1/311.4
1016,"8,441","+1,547",32,38,1/120.6,1/263.8,1/222.1
1017,"8,456",+618,32,28,1/140.9,1/264.2,1/302.0
1018,"7,621","-1,041",23,23,1/165.7,1/331.3,1/331.3
1019,"6,713","-1,100",21,18,1/172.1,1/319.7,1/372.9
1020,"6,810",+759,30,16,1/148.0,1/227.0,1/425.6
1021,"8,067",+865,31,28,1/136.7,1/260.2,1/288.1
1022,"8,142",+744,33,27,1/135.7,1/246.7,1/301.6
1023,"7,174","-1,406",22,15,1/193.9,1/326.1,1/478.3
1024,"7,102",+559,28,21,1/144.9,1/253.6,1/338.2
1025,"6,538",-544,23,18,1/159.5,1/284.3,1/363.2
1026,"8,441",+962,32,30,1/136.1,1/263.8,1/281.4
1027,"9,115","+2,232",38,33,1/128.4,1/239.9,1/276.2
1028,"8,756","+1,703",35,32,1/130.7,1/250.2,1/273.6
1029,"7,626",-485,27,22,1/155.6,1/282.4,1/346.6
1030,"7,102",+76,26,23,1/144.9,1/273.2,1/308.8
1031,"8,359","+3,400",35,45,1/104.5,1/238.8,1/185.8
1032,"7,416","-1,982",25,11,1/206.0,1/296.6,1/674.2
1033,"5,556",+26,22,14,1/154.3,1/252.5,1/396.9
1034,"8,598","+1,700",36,32,1/126.4,1/238.8,1/268.7
1035,"6,621","-1,524",19,17,1/183.9,1/348.5,1/389.5
1036,"8,043",-591,25,31,1/143.6,1/321.7,1/259.5
1037,"9,089","+2,674",42,33,1/121.2,1/216.4,1/275.4
1038,"7,459",+418,32,17,1/152.2,1/233.1,1/438.8
1039,"7,289","+2,056",31,29,1/121.5,1/235.1,1/251.3
1040,"8,447","+2,126",41,31,1/117.3,1/206.0,1/272.5
1041,"6,976",-697,22,22,1/158.5,1/317.1,1/317.1
1042,"7,951","+1,135",33,29,1/128.2,1/240.9,1/274.2
1043,"7,505","+1,606",35,22,1/131.7,1/214.4,1/341.1
1044,"8,099",-182,27,30,1/142.1,1/300.0,1/270.0
1045,"8,501","+6,526",57,27,1/101.2,1/149.1,1/314.9
1046,"7,063","+3,212",39,21,1/117.7,1/181.1,1/336.3
1047,"7,443","+2,303",37,23,1/124.0,1/201.2,1/323.6
1048,"7,082",+559,29,23,1/136.2,1/244.2,1/307.9
1049,"7,089",-432,23,25,1/147.7,1/308.2,1/283.6
1050,"7,479","-1,747",18,28,1/162.6,1/415.5,1/267.1
1069,"7,545",+168,31,19,1/150.9,1/243.4,1/397.1
1070,"6,383","-1,406",18,17,1/182.4,1/354.6,1/375.5
1071,"7,135",-159,28,15,1/165.9,1/254.8,1/475.7
1072,"7,372","-2,268",16,28,1/167.5,1/460.8,1/263.3
1073,"6,512",-321,24,13,1/176.0,1/271.3,1/500.9
1074,"6,744","-1,350",18,18,1/187.3,1/374.7,1/374.7
1075,"7,496",-426,26,20,1/163.0,1/288.3,1/374.8
1076,"8,750","+3,941",46,29,1/116.7,1/190.2,1/301.7
1077,"9,093",+641,27,46,1/124.6,1/336.8,1/197.7
1078,"8,891","+5,206",46,43,1/99.9,1/193.3,1/206.8
1079,"8,441",+841,32,31,1/134.0,1/263.8,1/272.3
1080,"6,181",-656,23,13,1/171.7,1/268.7,1/475.5
1081,"8,765","+4,632",43,41,1/104.3,1/203.8,1/213.8
1082,"9,069","+4,747",47,33,1/113.4,1/193.0,1/274.8
1083,"7,495",+453,33,17,1/149.9,1/227.1,1/440.9
1084,"8,192",-726,25,27,1/157.5,1/327.7,1/303.4
1085,"7,410",+535,30,19,1/151.2,1/247.0,1/390.0
1086,"7,852","+2,671",37,27,1/122.7,1/212.2,1/290.8
1087,"7,674",+594,34,20,1/142.1,1/225.7,1/383.7
1088,"5,997",-668,19,20,1/153.8,1/315.6,1/299.9
1089,"6,737","-1,182",23,14,1/182.1,1/292.9,1/481.2
1090,"7,038",-750,21,23,1/160.0,1/335.1,1/306.0
1091,"8,230","+1,853",37,25,1/132.7,1/222.4,1/329.2
1092,"6,999",+303,30,17,1/148.9,1/233.3,1/411.7
1093,"7,649","-1,791",21,24,1/170.0,1/364.2,1/318.7
1094,"7,349",+703,31,20,1/144.1,1/237.1,1/367.4
1095,"8,653","+5,841",46,45,1/95.1,1/188.1,1/192.3
1096,"6,296",-403,23,15,1/165.7,1/273.7,1/419.7
1097,"8,710",+618,28,36,1/136.1,1/311.1,1/241.9
1098,"8,507",+76,28,27,1/154.7,1/303.8,1/315.1
1099,"6,507","-1,826",19,15,1/191.4,1/342.5,1/433.8
