機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
アイムジャグラーEX-TP,461,"3,332",15,8,1/144.9,1/222.1,1/416.5
アイムジャグラーEX-TP,462,"2,085",3,7,1/208.5,1/695.0,1/297.9
アイムジャグラーEX-TP,463,238,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,464,"2,848",12,8,1/142.4,1/237.3,1/356.0
アイムジャグラーEX-TP,478,"3,399",14,4,1/188.8,1/242.8,1/849.8
アイムジャグラーEX-TP,479,"1,041",4,2,1/173.5,1/260.2,1/520.5
アイムジャグラーEX-TP,480,669,2,0,1/334.5,1/334.5,1/0.0
アイムジャグラーEX-TP,481,"2,090",8,10,1/116.1,1/261.2,1/209.0
アイムジャグラーEX-TP,482,989,3,3,1/164.8,1/329.7,1/329.7
アイムジャグラーEX-TP,483,"1,047",1,2,1/349.0,1/1047.0,1/523.5
アイムジャグラーEX-TP,484,"1,385",2,5,1/197.9,1/692.5,1/277.0
アイムジャグラーEX-TP,485,"1,948",8,4,1/162.3,1/243.5,1/487.0
アイムジャグラーEX-TP,486,"1,631",9,2,1/148.3,1/181.2,1/815.5
アイムジャグラーEX-TP,487,"2,225",8,4,1/185.4,1/278.1,1/556.2
アイムジャグラーEX-TP,488,"1,240",3,0,1/413.3,1/413.3,1/0.0
アイムジャグラーEX-TP,489,855,1,2,1/285.0,1/855.0,1/427.5
アイムジャグラーEX-TP,500,"1,137",5,1,1/189.5,1/227.4,1/1137.0
アイムジャグラーEX-TP,501,"3,722",9,11,1/186.1,1/413.6,1/338.4
アイムジャグラーEX-TP,502,"1,642",7,6,1/126.3,1/234.6,1/273.7
アイムジャグラーEX-TP,503,"3,241",12,10,1/147.3,1/270.1,1/324.1
アイムジャグラーEX-TP,504,664,4,0,1/166.0,1/166.0,1/0.0
アイムジャグラーEX-TP,505,"2,201",9,5,1/157.2,1/244.6,1/440.2
アイムジャグラーEX-TP,506,935,5,2,1/133.6,1/187.0,1/467.5
アイムジャグラーEX-TP,507,"3,598",13,10,1/156.4,1/276.8,1/359.8
アイムジャグラーEX-TP,508,"2,318",7,6,1/178.3,1/331.1,1/386.3
アイムジャグラーEX-TP,509,887,1,1,1/443.5,1/887.0,1/887.0
アイムジャグラーEX-TP,510,971,4,1,1/194.2,1/242.8,1/971.0
アイムジャグラーEX-TP,511,"1,510",4,2,1/251.7,1/377.5,1/755.0
マイジャグラーV,444,"2,789",7,6,1/214.5,1/398.4,1/464.8
マイジャグラーV,445,"3,664",5,12,1/215.5,1/732.8,1/305.3
マイジャグラーV,446,"2,179",6,4,1/217.9,1/363.2,1/544.8
マイジャグラーV,447,"4,621",15,13,1/165.0,1/308.1,1/355.5
マイジャグラーV,448,"2,074",7,3,1/207.4,1/296.3,1/691.3
マイジャグラーV,449,"1,657",2,4,1/276.2,1/828.5,1/414.2
マイジャグラーV,450,"1,860",8,2,1/186.0,1/232.5,1/930.0
マイジャグラーV,451,"4,654",19,8,1/172.4,1/244.9,1/581.8
マイジャグラーV,452,"4,518",17,15,1/141.2,1/265.8,1/301.2
マイジャグラーV,453,"3,763",13,10,1/163.6,1/289.5,1/376.3
マイジャグラーV,454,"2,127",5,5,1/212.7,1/425.4,1/425.4
マイジャグラーV,455,"4,136",13,11,1/172.3,1/318.2,1/376.0
マイジャグラーV,456,"5,285",20,17,1/142.8,1/264.2,1/310.9
マイジャグラーV,465,"4,972",32,10,1/118.4,1/155.4,1/497.2
マイジャグラーV,466,"2,757",5,10,1/183.8,1/551.4,1/275.7
マイジャグラーV,467,"2,152",6,5,1/195.6,1/358.7,1/430.4
マイジャグラーV,468,"3,467",10,8,1/192.6,1/346.7,1/433.4
マイジャグラーV,469,"1,950",6,5,1/177.3,1/325.0,1/390.0
マイジャグラーV,470,"7,932",26,34,1/132.2,1/305.1,1/233.3
マイジャグラーV,471,"3,722",14,7,1/177.2,1/265.9,1/531.7
マイジャグラーV,472,"2,526",8,3,1/229.6,1/315.8,1/842.0
マイジャグラーV,473,"4,248",12,14,1/163.4,1/354.0,1/303.4
マイジャグラーV,474,970,4,3,1/138.6,1/242.5,1/323.3
マイジャグラーV,475,"7,203",38,21,1/122.1,1/189.6,1/343.0
マイジャグラーV,476,"2,754",8,9,1/162.0,1/344.2,1/306.0
マイジャグラーV,477,"3,271",13,4,1/192.4,1/251.6,1/817.8
ゴーゴージャグラー3,543,"2,896",13,8,1/137.9,1/222.8,1/362.0
ゴーゴージャグラー3,544,"1,723",7,5,1/143.6,1/246.1,1/344.6
ゴーゴージャグラー3,545,"3,878",13,16,1/133.7,1/298.3,1/242.4
ゴーゴージャグラー3,546,"1,664",8,2,1/166.4,1/208.0,1/832.0
ゴーゴージャグラー3,547,"1,632",6,4,1/163.2,1/272.0,1/408.0
ゴーゴージャグラー3,548,"3,622",11,10,1/172.5,1/329.3,1/362.2
ゴーゴージャグラー3,549,317,0,1,1/317.0,1/0.0,1/317.0
ゴーゴージャグラー3,550,"2,536",8,6,1/181.1,1/317.0,1/422.7
ゴーゴージャグラー3,551,"1,017",3,4,1/145.3,1/339.0,1/254.2
ゴーゴージャグラー3,552,"3,899",19,14,1/118.2,1/205.2,1/278.5
ゴーゴージャグラー3,553,"4,641",19,14,1/140.6,1/244.3,1/331.5
ゴーゴージャグラー3,554,961,4,1,1/192.2,1/240.2,1/961.0
ゴーゴージャグラー3,555,"1,984",11,4,1/132.3,1/180.4,1/496.0
ゴーゴージャグラー3,556,"4,017",9,10,1/211.4,1/446.3,1/401.7
スマスロ北斗の拳,648,"3,978",13,5,1/221.0,1/306.0,1/795.6
スマスロ北斗の拳,649,"2,608",19,6,1/104.3,1/137.3,1/434.7
スマスロ北斗の拳,650,955,4,1,1/191.0,1/238.8,1/955.0
スマスロ北斗の拳,651,"4,091",67,13,1/51.1,1/61.1,1/314.7
スマスロ北斗の拳,652,"2,333",6,4,1/233.3,1/388.8,1/583.2
