機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"2,693","+1,759",45,4,0,1/55.0,1/59.8,1/673.2,1/0.0
スマスロ北斗の拳,343,"1,758","-1,488",8,5,0,1/135.2,1/219.8,1/351.6,1/0.0
スマスロ北斗の拳,344,"1,983","-1,736",9,5,0,1/141.6,1/220.3,1/396.6,1/0.0
スマスロ北斗の拳,345,"3,769","-1,467",28,9,0,1/101.9,1/134.6,1/418.8,1/0.0
スマスロ北斗の拳,346,"1,343",-664,10,2,0,1/111.9,1/134.3,1/671.5,1/0.0
スマスロ北斗の拳,347,742,"+1,478",20,2,0,1/33.7,1/37.1,1/371.0,1/0.0
スマスロ北斗の拳,348,"1,504",-860,12,3,0,1/100.3,1/125.3,1/501.3,1/0.0
スマスロ北斗の拳,349,"3,791",+329,44,12,0,1/67.7,1/86.2,1/315.9,1/0.0
アイムジャグラーEX-TP,319,"3,990","-1,536",11,7,0,1/221.7,1/362.7,1/570.0,1/0.0
アイムジャグラーEX-TP,320,"4,377",-333,13,18,0,1/141.2,1/336.7,1/243.2,1/0.0
アイムジャグラーEX-TP,321,"2,235",-920,6,4,0,1/223.5,1/372.5,1/558.8,1/0.0
アイムジャグラーEX-TP,322,"4,149",+215,15,12,0,1/153.7,1/276.6,1/345.8,1/0.0
アイムジャグラーEX-TP,323,"4,163",-282,14,10,0,1/173.5,1/297.4,1/416.3,1/0.0
アイムジャグラーEX-TP,324,"5,095",-361,21,10,0,1/164.4,1/242.6,1/509.5,1/0.0
アイムジャグラーEX-TP,325,"1,982",-953,6,2,0,1/247.8,1/330.3,1/991.0,1/0.0
マイジャグラーV,313,"5,947","+1,901",28,17,0,1/132.2,1/212.4,1/349.8,1/0.0
マイジャグラーV,314,972,-246,4,0,0,1/243.0,1/243.0,1/0.0,1/0.0
マイジャグラーV,315,"3,028","+1,950",20,8,0,1/108.1,1/151.4,1/378.5,1/0.0
マイジャグラーV,316,"5,808",+214,22,21,0,1/135.1,1/264.0,1/276.6,1/0.0
マイジャグラーV,317,"4,339",+704,16,20,0,1/120.5,1/271.2,1/216.9,1/0.0
マイジャグラーV,318,"1,730",+820,10,4,0,1/123.6,1/173.0,1/432.5,1/0.0
ハッピージャグラーVIII,326,597,-738,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハッピージャグラーVIII,327,"3,407",-94,14,9,0,1/148.1,1/243.4,1/378.6,1/0.0
ハッピージャグラーVIII,328,392,-369,0,1,0,1/392.0,1/0.0,1/392.0,1/0.0
ハッピージャグラーVIII,329,"2,160",+438,11,6,0,1/127.1,1/196.4,1/360.0,1/0.0
ハッピージャグラーVIII,330,608,-600,0,2,0,1/304.0,1/0.0,1/304.0,1/0.0
ゴーゴージャグラー3,335,"5,528",-161,22,21,0,1/128.6,1/251.3,1/263.2,1/0.0
ゴーゴージャグラー3,336,428,-465,0,1,0,1/428.0,1/0.0,1/428.0,1/0.0
ゴーゴージャグラー3,337,866,+667,7,2,0,1/96.2,1/123.7,1/433.0,1/0.0
ゴーゴージャグラー3,338,"4,319",-207,17,11,0,1/154.2,1/254.1,1/392.6,1/0.0
ハナハナホウオウ～天翔～-30,426,602,-90,3,0,0,1/200.7,1/200.7,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,427,"2,668",-383,6,9,0,1/177.9,1/444.7,1/296.4,1/0.0
ハナハナホウオウ～天翔～-30,428,"1,374",-131,4,3,0,1/196.3,1/343.5,1/458.0,1/0.0
ハナハナホウオウ～天翔～-30,429,158,-203,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍！番長4,374,339,-411,0,0,1,1/339.0,1/0.0,1/0.0,1/339.0
押忍！番長4,375,772,-682,0,1,4,1/154.4,1/0.0,1/772.0,1/193.0
押忍！番長4,376,679,-940,0,0,2,1/339.5,1/0.0,1/0.0,1/339.5
押忍！番長4,377,142,-200,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"2,855","+6,308",0,3,48,1/56.0,1/0.0,1/951.7,1/59.5
ゴッドイーター リザレクション,372,"2,358",+57,0,5,19,1/98.2,1/0.0,1/471.6,1/124.1
ゴッドイーター リザレクション,373,"5,284","-2,015",0,13,38,1/103.6,1/0.0,1/406.5,1/139.1
ファンキージャグラー2,339,"2,554","-1,193",5,5,0,1/255.4,1/510.8,1/510.8,1/0.0
ファンキージャグラー2,340,"2,866",+38,10,14,0,1/119.4,1/286.6,1/204.7,1/0.0
ファンキージャグラー2,341,"4,863",+155,18,19,0,1/131.4,1/270.2,1/255.9,1/0.0
炎炎ノ消防隊,398,465,+136,0,1,4,1/93.0,1/0.0,1/465.0,1/116.2
炎炎ノ消防隊,399,609,-137,0,2,3,1/121.8,1/0.0,1/304.5,1/203.0
炎炎ノ消防隊,400,814,+515,0,1,7,1/101.8,1/0.0,1/814.0,1/116.3
D4DJ Pachi‐Slot Mix,356,211,+540,3,0,3,1/35.2,1/70.3,1/0.0,1/70.3
D4DJ Pachi‐Slot Mix,357,14,-26,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
L南国育ち,358,"2,238","-1,730",5,9,0,1/159.9,1/447.6,1/248.7,1/0.0
L南国育ち,359,"1,157",-3,5,9,0,1/82.6,1/231.4,1/128.6,1/0.0
Re:ゼロから始める異世界生活 season2,366,"4,142",-604,0,1,39,1/103.5,1/0.0,1/4142.0,1/106.2
Re:ゼロから始める異世界生活 season2,367,291,+629,0,0,7,1/41.6,1/0.0,1/0.0,1/41.6
ゲゲゲの鬼太郎 覚醒,354,"1,130",+106,0,3,12,1/75.3,1/0.0,1/376.7,1/94.2
ゲゲゲの鬼太郎 覚醒,355,127,-218,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ケロット4,414,373,-246,1,0,0,1/373.0,1/373.0,1/0.0,1/0.0
ケロット4,415,583,-400,2,0,0,1/291.5,1/291.5,1/0.0,1/0.0
サンダーVライトニング,424,"3,366",-603,11,7,0,1/187.0,1/306.0,1/480.9,1/0.0
サンダーVライトニング,425,186,-185,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ジャグラーガールズ,333,447,-296,1,1,0,1/223.5,1/447.0,1/447.0,1/0.0
ジャグラーガールズ,334,513,-449,0,2,0,1/256.5,1/0.0,1/256.5,1/0.0
スマスロ真・北斗無双,350,438,-199,3,0,2,1/87.6,1/146.0,1/0.0,1/219.0
スマスロ真・北斗無双,351,386,-529,1,0,1,1/193.0,1/386.0,1/0.0,1/386.0
ダンジョンに出会いを求めるのは間違っているだろうか2,392,"3,195","-2,343",7,25,0,1/99.8,1/456.4,1/127.8,1/0.0
ダンジョンに出会いを求めるのは間違っているだろうか2,393,"2,562",-36,18,36,0,1/47.4,1/142.3,1/71.2,1/0.0
ダンベル何キロ持てる？,403,"3,869","+4,527",0,12,103,1/33.6,1/0.0,1/322.4,1/37.6
ダンベル何キロ持てる？,404,"3,602","-2,797",0,17,28,1/80.0,1/0.0,1/211.9,1/128.6
バンドリ！,401,"4,993",-300,0,12,31,1/116.1,1/0.0,1/416.1,1/161.1
バンドリ！,402,"1,184",+49,0,2,9,1/107.6,1/0.0,1/592.0,1/131.6
ファミスタ回胴版!!,417,"1,218",-594,3,3,0,1/203.0,1/406.0,1/406.0,1/0.0
ファミスタ回胴版!!,418,"1,071",-280,4,2,0,1/178.5,1/267.8,1/535.5,1/0.0
ミスタージャグラー,331,"1,350",+940,9,3,0,1/112.5,1/150.0,1/450.0,1/0.0
ミスタージャグラー,332,"7,829","-1,279",21,33,0,1/145.0,1/372.8,1/237.2,1/0.0
モンキーターンV,369,"1,741",+452,0,2,5,1/248.7,1/0.0,1/870.5,1/348.2
モンキーターンV,370,"3,688","+2,265",0,5,28,1/111.8,1/0.0,1/737.6,1/131.7
戦国乙女4 戦乱に閃く炯眼の軍師,364,"1,388",-743,6,0,3,1/154.2,1/231.3,1/0.0,1/462.7
戦国乙女4 戦乱に閃く炯眼の軍師,365,"5,039",-962,24,0,12,1/140.0,1/210.0,1/0.0,1/419.9
戦姫絶唱シンフォギア 正義の歌,360,505,-573,0,1,2,1/168.3,1/0.0,1/505.0,1/252.5
戦姫絶唱シンフォギア 正義の歌,361,686,-792,0,2,4,1/114.3,1/0.0,1/343.0,1/171.5
沖ドキ!GOLD,422,449,-461,1,0,0,1/449.0,1/449.0,1/0.0,1/0.0
沖ドキ!GOLD,423,377,-504,0,1,0,1/377.0,1/0.0,1/377.0,1/0.0
甲鉄城のカバネリ,396,"1,806","-1,721",0,5,5,1/180.6,1/0.0,1/361.2,1/361.2
