機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,672,11,1,0,1/56.0,1/61.1,1/672.0,1/0.0
スマスロ北斗の拳,343,"2,990",56,11,0,1/44.6,1/53.4,1/271.8,1/0.0
スマスロ北斗の拳,344,945,4,2,0,1/157.5,1/236.2,1/472.5,1/0.0
スマスロ北斗の拳,345,"3,036",21,9,0,1/101.2,1/144.6,1/337.3,1/0.0
スマスロ北斗の拳,346,"1,059",14,3,0,1/62.3,1/75.6,1/353.0,1/0.0
スマスロ北斗の拳,347,"2,330",16,5,0,1/111.0,1/145.6,1/466.0,1/0.0
スマスロ北斗の拳,348,833,6,1,0,1/119.0,1/138.8,1/833.0,1/0.0
スマスロ北斗の拳,349,643,1,1,0,1/321.5,1/643.0,1/643.0,1/0.0
アイムジャグラーEX-TP,319,"2,663",9,9,0,1/147.9,1/295.9,1/295.9,1/0.0
アイムジャグラーEX-TP,320,"5,056",20,8,0,1/180.6,1/252.8,1/632.0,1/0.0
アイムジャグラーEX-TP,321,473,1,1,0,1/236.5,1/473.0,1/473.0,1/0.0
アイムジャグラーEX-TP,322,"6,531",34,8,0,1/155.5,1/192.1,1/816.4,1/0.0
アイムジャグラーEX-TP,323,824,4,0,0,1/206.0,1/206.0,1/0.0,1/0.0
アイムジャグラーEX-TP,324,"5,727",25,10,0,1/163.6,1/229.1,1/572.7,1/0.0
アイムジャグラーEX-TP,325,"4,205",17,9,0,1/161.7,1/247.4,1/467.2,1/0.0
マイジャグラーV,313,"1,633",4,0,0,1/408.2,1/408.2,1/0.0,1/0.0
マイジャグラーV,314,"2,398",7,5,0,1/199.8,1/342.6,1/479.6,1/0.0
マイジャグラーV,315,"3,631",13,8,0,1/172.9,1/279.3,1/453.9,1/0.0
マイジャグラーV,316,820,1,2,0,1/273.3,1/820.0,1/410.0,1/0.0
マイジャグラーV,317,"5,721",20,23,0,1/133.0,1/286.1,1/248.7,1/0.0
マイジャグラーV,318,"3,277",13,6,0,1/172.5,1/252.1,1/546.2,1/0.0
ハッピージャグラーVIII,326,"1,400",5,3,0,1/175.0,1/280.0,1/466.7,1/0.0
ハッピージャグラーVIII,327,"1,508",4,2,0,1/251.3,1/377.0,1/754.0,1/0.0
ハッピージャグラーVIII,328,907,2,2,0,1/226.8,1/453.5,1/453.5,1/0.0
ハッピージャグラーVIII,329,"3,761",17,12,0,1/129.7,1/221.2,1/313.4,1/0.0
ハッピージャグラーVIII,330,565,1,1,0,1/282.5,1/565.0,1/565.0,1/0.0
ゴーゴージャグラー3,335,"2,593",16,9,0,1/103.7,1/162.1,1/288.1,1/0.0
ゴーゴージャグラー3,336,"2,235",7,6,0,1/171.9,1/319.3,1/372.5,1/0.0
ゴーゴージャグラー3,337,"2,168",7,4,0,1/197.1,1/309.7,1/542.0,1/0.0
ゴーゴージャグラー3,338,"2,717",9,5,0,1/194.1,1/301.9,1/543.4,1/0.0
ハナハナホウオウ～天翔～,424,"1,099",3,3,0,1/183.2,1/366.3,1/366.3,1/0.0
ハナハナホウオウ～天翔～,425,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,217,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"1,409",0,4,17,1/67.1,1/0.0,1/352.2,1/82.9
ゴッドイーター リザレクション,372,985,0,1,6,1/140.7,1/0.0,1/985.0,1/164.2
ゴッドイーター リザレクション,373,"3,499",0,6,33,1/89.7,1/0.0,1/583.2,1/106.0
