,G数,G数,G数,G数,RB,RB,RB,RB,RB確率,RB確率,RB確率,RB確率
date,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00
台番号,,,,,,,,,,,,
1001,7797.0,6939.0,7393.0,8631.0,16.0,27.0,19.0,25.0,487.0,257.0,389.0,345.0
1002,2617.0,6193.0,7842.0,8233.0,4.0,14.0,32.0,29.0,654.0,442.0,245.0,283.0
1003,6466.0,3336.0,8177.0,7242.0,16.0,7.0,32.0,23.0,404.0,476.0,255.0,314.0
1004,4170.0,4414.0,6655.0,8520.0,6.0,12.0,23.0,29.0,695.0,367.0,289.0,293.0
1005,8299.0,4412.0,7857.0,7345.0,21.0,10.0,23.0,19.0,395.0,441.0,341.0,386.0
1006,6330.0,4449.0,7625.0,9085.0,23.0,10.0,27.0,31.0,275.0,444.0,282.0,293.0
1007,6424.0,3645.0,8306.0,8362.0,15.0,11.0,25.0,19.0,428.0,331.0,332.0,440.0
1008,8199.0,4978.0,4663.0,4759.0,40.0,16.0,8.0,11.0,205.0,311.0,582.0,432.0
1009,8079.0,6825.0,6551.0,8705.0,29.0,25.0,18.0,28.0,278.0,273.0,363.0,310.0
1010,6430.0,6220.0,8159.0,7711.0,19.0,31.0,28.0,27.0,338.0,200.0,291.0,285.0
1011,6177.0,7296.0,9411.0,8289.0,15.0,24.0,33.0,17.0,411.0,304.0,285.0,487.0
1012,5625.0,5010.0,7635.0,5934.0,10.0,16.0,31.0,11.0,562.0,313.0,246.0,539.0
1013,6549.0,7486.0,8351.0,7976.0,19.0,29.0,32.0,16.0,344.0,258.0,261.0,498.0
1014,6004.0,6415.0,8744.0,6771.0,20.0,30.0,33.0,17.0,300.0,213.0,265.0,398.0
1015,8431.0,5588.0,4380.0,9030.0,38.0,16.0,12.0,29.0,221.0,349.0,365.0,311.0
1016,4810.0,6739.0,7428.0,8441.0,9.0,27.0,35.0,38.0,534.0,249.0,212.0,222.0
1017,6421.0,5490.0,9361.0,8456.0,19.0,17.0,48.0,28.0,337.0,322.0,195.0,302.0
1018,2308.0,5709.0,6611.0,7621.0,3.0,17.0,21.0,23.0,769.0,335.0,314.0,331.0
1019,7987.0,5831.0,7598.0,6713.0,30.0,22.0,25.0,18.0,266.0,265.0,303.0,372.0
1020,4139.0,2744.0,5849.0,6810.0,14.0,5.0,20.0,16.0,295.0,548.0,292.0,425.0
